,level_0,index,district,object_id
0,0,0,Anugul,21-384
1,8,8,Balangir,21-393
2,22,22,Baleshwar,21-377
3,34,34,Bargarh,21-370
4,46,46,Bhadrak,21-378
5,53,53,Boudh,21-391
6,56,56,Cuttack,21-381
7,70,70,Deogarh,21-373
8,73,73,Dhenkanal,21-383
9,81,81,Gajapati,21-389
10,88,88,Ganjam,21-388
11,110,110,Jagatsinghapur,21-380
12,118,118,Jajapur,21-382
13,128,128,Jharsuguda,21-371
14,133,133,Kalahandi,21-395
15,146,146,Kandhamal,21-390
16,158,158,Kendrapara,21-379
17,167,167,Kendujhar,21-375
18,180,180,Khordha,21-386
19,190,190,Koraput,21-398
20,204,204,Malkangiri,21-399
21,211,211,Mayurbhanj,21-376
22,237,237,Nabarangpur,21-397
23,247,247,Nayagarh,21-385
24,255,255,Nuapada,21-394
25,260,260,Puri,21-387
26,271,271,Rayagada,21-396
27,282,282,Sambalpur,21-372
28,291,291,Sonepur,21-392
29,297,297,Sundargarh,21-374
